report_date,primal_desc,choice_600_900,select_600_900,week_of_year,year,indexby_year,start_of_week,end_of_week
2013-04-26,Trim,98.67,98.67,175,2013,81,2013-04-21,2013-04-26
2013-04-26,Flank,109.72,107.33,175,2013,81,2013-04-21,2013-04-26
2013-04-26,Chuck,159.92,158.63,175,2013,81,2013-04-21,2013-04-26
2013-04-26,Brisket,130.88,130.88,175,2013,81,2013-04-21,2013-04-26
2013-04-26,Round,159.33,158.23,175,2013,81,2013-04-21,2013-04-26
2013-04-26,Cutout,192.89,184.43,175,2013,81,2013-04-21,2013-04-26
2013-04-26,Loin,272.71,248.38,175,2013,81,2013-04-21,2013-04-26
2013-04-29,Trim,98.73,98.73,181,2013,82,2013-04-28,2013-05-03
2013-04-29,Cutout,194.79,186.22,181,2013,82,2013-04-28,2013-05-03
2013-04-29,Round,160.66,159.27,181,2013,82,2013-04-28,2013-05-03
2013-04-29,Chuck,161.28,159.56,181,2013,82,2013-04-28,2013-05-03
2013-04-29,Loin,276.6,254.33,181,2013,82,2013-04-28,2013-05-03
2013-04-29,Plate,139.54,142.31,181,2013,82,2013-04-28,2013-05-03
2013-04-29,Brisket,131.48,131.42,181,2013,82,2013-04-28,2013-05-03
2013-04-29,Rib,285.0,257.01,181,2013,82,2013-04-28,2013-05-03
2013-04-29,Flank,110.08,108.28,181,2013,82,2013-04-28,2013-05-03
2013-04-30,Cutout,196.39,188.04,182,2013,83,2013-04-28,2013-05-03
2013-04-30,Rib,286.65,260.62,182,2013,83,2013-04-28,2013-05-03
2013-04-30,Trim,97.85,97.85,182,2013,83,2013-04-28,2013-05-03
2013-04-30,Round,160.92,160.48,182,2013,83,2013-04-28,2013-05-03
2013-04-30,Loin,280.46,257.4,182,2013,83,2013-04-28,2013-05-03
2013-04-30,Flank,110.53,108.18,182,2013,83,2013-04-28,2013-05-03
2013-04-30,Chuck,162.74,160.84,182,2013,83,2013-04-28,2013-05-03
2013-04-30,Brisket,132.93,133.35,182,2013,83,2013-04-28,2013-05-03
2013-04-30,Plate,139.82,142.63,182,2013,83,2013-04-28,2013-05-03
2013-05-01,Loin,290.68,259.5,183,2013,84,2013-04-28,2013-05-03
2013-05-01,Flank,110.56,109.63,183,2013,84,2013-04-28,2013-05-03
2013-05-01,Cutout,199.49,189.83,183,2013,84,2013-04-28,2013-05-03
2013-05-01,Trim,98.28,98.28,183,2013,84,2013-04-28,2013-05-03
2013-05-01,Plate,140.76,143.6,183,2013,84,2013-04-28,2013-05-03
2013-05-01,Brisket,133.51,133.8,183,2013,84,2013-04-28,2013-05-03
2013-05-01,Round,162.45,161.98,183,2013,84,2013-04-28,2013-05-03
2013-05-01,Rib,289.85,265.05,183,2013,84,2013-04-28,2013-05-03
2013-05-01,Chuck,163.17,162.06,183,2013,84,2013-04-28,2013-05-03
2013-05-02,Plate,141.35,144.25,184,2013,85,2013-04-28,2013-05-03
2013-05-02,Chuck,163.66,161.99,184,2013,85,2013-04-28,2013-05-03
2013-05-02,Trim,97.49,97.49,184,2013,85,2013-04-28,2013-05-03
2013-05-02,Flank,111.48,109.73,184,2013,85,2013-04-28,2013-05-03
2013-05-02,Brisket,133.75,133.85,184,2013,85,2013-04-28,2013-05-03
2013-05-02,Loin,293.64,260.15,184,2013,85,2013-04-28,2013-05-03
2013-05-02,Rib,291.36,270.55,184,2013,85,2013-04-28,2013-05-03
2013-05-02,Round,162.75,162.07,184,2013,85,2013-04-28,2013-05-03
2013-05-02,Cutout,200.58,190.64,184,2013,85,2013-04-28,2013-05-03
2013-05-03,Chuck,163.94,160.37,185,2013,86,2013-04-28,2013-05-03
2013-05-03,Loin,296.57,260.2,185,2013,86,2013-04-28,2013-05-03
2013-05-03,Plate,140.68,143.61,185,2013,86,2013-04-28,2013-05-03
