report_date,published_date,description,commodity,type,class,volume,unit,year,indexby_year
2016-09-10,,,,,Steer,903.0,,2016,37
2016-09-17,,,,,Steer,905.0,,2016,38
2016-09-24,,,,,Steer,904.0,,2016,39
2016-10-01,,,,,Steer,909.0,,2016,40
2016-10-08,,,,,Steer,911.0,,2016,41
2016-10-15,,,,,Steer,915.0,,2016,42
2016-10-22,,,,,Steer,915.0,,2016,43
2016-10-29,,,,,Steer,917.0,,2016,44
2016-11-05,,,,,Steer,913.0,,2016,45
2016-11-12,,,,,Steer,918.0,,2016,46
2016-11-19,,,,,Steer,918.0,,2016,47
2016-11-26,,,,,Steer,916.0,,2016,48
2016-12-03,,,,,Steer,913.0,,2016,49
2016-12-10,,,,,Steer,908.0,,2016,50
2016-12-17,,,,,Steer,908.0,,2016,51
2016-12-24,,,,,Steer,897.0,,2016,52
2017-01-07,,,,,Steer,905.0,,2017,1
2017-01-14,,,,,Steer,898.0,,2017,2
2017-01-21,,,,,Steer,889.0,,2017,3
2017-01-28,,,,,Steer,884.0,,2017,4
2017-02-04,,,,,Steer,887.0,,2017,5
2017-02-11,,,,,Steer,879.0,,2017,6
2017-02-18,,,,,Steer,881.0,,2017,7
2017-02-25,,,,,Steer,878.0,,2017,8
2017-03-04,,,,,Steer,876.0,,2017,9
2017-03-11,,,,,Steer,881.0,,2017,10
2017-03-18,,,,,Steer,872.0,,2017,11
2017-03-25,,,,,Steer,868.0,,2017,12
2017-04-01,,,,,Steer,862.0,,2017,13
2017-04-08,,,,,Steer,852.0,,2017,14
2017-04-15,,,,,Steer,848.0,,2017,15
2017-04-22,,,,,Steer,849.0,,2017,16
2017-04-29,,,,,Steer,847.0,,2017,17
2017-05-06,,,,,Steer,832.0,,2017,18
2017-05-13,,,,,Steer,836.0,,2017,19
2017-05-20,,,,,Steer,836.0,,2017,20
2017-05-27,,,,,Steer,838.0,,2017,21
2017-06-03,,,,,Steer,847.0,,2017,22
2017-06-10,,,,,Steer,847.0,,2017,23
2017-06-17,,,,,Steer,855.0,,2017,24
2017-06-24,,,,,Steer,855.0,,2017,25
2017-07-01,,,,,Steer,859.0,,2017,26
