date,lbs,year,indexby_year
2016-12-03,517.5,2016,49
2016-12-10,515.0,2016,50
2016-12-17,505.0,2016,51
2016-12-24,480.9,2016,52
2017-01-07,448.3,2017,1
2017-01-14,507.6,2017,2
2017-01-21,473.9,2017,3
2017-01-28,480.1,2017,4
2017-02-04,491.0,2017,5
2017-02-11,474.4,2017,6
2017-02-18,468.7,2017,7
2017-02-25,470.7,2017,8
2017-03-04,475.9,2017,9
2017-03-11,480.3,2017,10
2017-03-18,481.1,2017,11
2017-03-25,501.5,2017,12
2017-04-01,484.6,2017,13
2017-04-08,467.4,2017,14
2017-04-15,479.0,2017,15
2017-04-22,480.1,2017,16
2017-04-29,501.2,2017,17
2017-05-06,489.6,2017,18
2017-05-13,488.9,2017,19
2017-05-20,477.5,2017,20
2017-05-27,483.9,2017,21
2017-06-03,432.4,2017,22
2017-06-10,489.9,2017,23
2017-06-17,496.4,2017,24
2017-06-24,501.0,2017,25
2017-07-01,508.5,2017,26
2017-07-08,436.1,2017,27
2017-07-15,504.2,2017,28
2017-07-22,500.3,2017,29
2017-07-29,505.0,2017,30
2017-08-05,511.9,2017,31
2017-08-12,518.0,2017,32
2017-08-19,514.5,2017,33
2017-08-26,520.4,2017,34
2017-09-02,507.9,2017,35
2017-09-09,450.2,2017,36
2017-09-16,526.2,2017,37
2017-09-23,524.1,2017,38
2017-09-30,535.3,2017,39
2017-10-07,522.8,2017,40
2017-10-14,514.4,2017,41
2017-10-21,519.0,2017,42
2017-10-28,508.4,2017,43
2017-11-04,528.5,2017,44
2017-11-11,513.9,2017,45
2017-11-18,528.2,2017,46
2017-11-25,473.7,2017,47
2017-12-02,533.9,2017,48
2017-12-09,528.5,2017,49
2017-12-16,524.7,2017,50
2017-12-23,510.9,2017,51
2017-12-30,418.6,2017,52
2018-01-06,451.3,2018,1
2018-01-13,510.6,2018,2
2018-01-20,514.0,2018,3
2018-01-27,490.3,2018,4
2018-02-03,507.1,2018,5
2018-02-10,488.8,2018,6
2018-02-17,492.3,2018,7
2018-02-24,472.1,2018,8
2018-03-03,500.8,2018,9
2018-03-10,490.7,2018,10
2018-03-17,488.7,2018,11
2018-03-24,498.5,2018,12
2018-03-31,487.1,2018,13
2018-04-07,502.9,2018,14
2018-04-14,493.5,2018,15
2018-04-21,508.5,2018,16
2018-04-28,506.1,2018,17
2018-05-05,522.6,2018,18
2018-05-12,517.0,2018,19
2018-05-19,526.5,2018,20
2018-05-26,515.4,2018,21
2018-06-02,463.2,2018,22
2018-06-09,523.1,2018,23
2018-06-16,519.4,2018,24
2018-06-23,528.1,2018,25
2018-06-30,514.9,2018,26
2018-07-07,451.9,2018,27
2018-07-14,521.3,2018,28
2018-07-21,511.3,2018,29
2018-07-28,515.8,2018,30
2018-08-04,505.5,2018,31
2018-08-11,521.0,2018,32
2018-08-18,535.4,2018,33
2018-08-25,517.6,2018,34
2018-09-01,520.8,2018,35
2018-09-08,460.4,2018,36
2018-09-15,533.7,2018,37
2018-09-22,539.5,2018,38
2018-09-29,534.8,2018,39
2018-10-06,530.9,2018,40
2018-10-13,528.6,2018,41
2018-10-20,517.9,2018,42
2018-10-27,524.8,2018,43
2018-11-03,530.6,2018,44
2018-11-10,526.4,2018,45
2018-11-17,526.3,2018,46
2018-11-24,469.7,2018,47
2018-12-01,528.5,2018,48
2018-12-08,552.5,2018,49
2018-12-15,542.1,2018,50
2018-12-22,546.0,2018,51
2018-12-29,362.6,2018,52
2019-01-05,430.5,2019,1
2019-01-12,520.3,2019,2
2019-01-19,515.1,2019,3
2019-01-26,507.0,2019,4
2019-02-02,492.2,2019,5
2019-02-09,515.2,2019,6
2019-02-16,492.2,2019,7
2019-02-23,474.6,2019,8
2019-03-02,491.2,2019,9
2019-03-09,489.1,2019,10
2019-03-16,482.8,2019,11
2019-03-23,508.9,2019,12
2019-03-30,493.4,2019,13
2019-04-06,497.2,2019,14
2019-04-13,510.6,2019,15
2019-04-20,513.8,2019,16
2019-04-27,516.5,2019,17
2019-05-04,537.6,2019,18
2019-05-11,537.4,2019,19
2019-05-18,527.0,2019,20
2019-05-25,510.5,2019,21
2019-06-01,463.8,2019,22
2019-06-08,525.9,2019,23
2019-06-15,525.8,2019,24
2019-06-22,522.3,2019,25
2019-06-29,525.7,2019,26
2019-07-06,454.7,2019,27
2019-07-13,521.4,2019,28
2019-07-20,517.8,2019,29
2019-07-27,523.4,2019,30
2019-08-03,502.7,2019,31
2019-08-10,518.9,2019,32
2019-08-17,524.8,2019,33
2019-08-24,528.7,2019,34
2019-08-31,521.7,2019,35
2019-09-07,459.3,2019,36
2019-09-14,512.0,2019,37
2019-09-21,536.6,2019,38
2019-09-28,528.8,2019,39
2019-10-05,523.3,2019,40
2019-10-12,529.9,2019,41
2019-10-19,525.4,2019,42
2019-10-26,526.1,2019,43
2019-11-02,540.0,2019,44
2019-11-09,535.3,2019,45
2019-11-16,540.2,2019,46
2019-11-23,545.8,2019,47
2019-11-30,457.1,2019,48
2019-12-07,562.7,2019,49
2019-12-14,550.4,2019,50
2019-12-21,554.9,2019,51
