date,lbs,year,indexby_year
2017-07-01,457.3,2017,26
2017-07-08,385.1,2017,27
2017-07-15,455.2,2017,28
2017-07-22,458.7,2017,29
2017-07-29,464.0,2017,30
2017-08-05,466.2,2017,31
2017-08-12,469.9,2017,32
2017-08-19,482.4,2017,33
2017-08-26,484.9,2017,34
2017-09-02,479.3,2017,35
2017-09-09,450.2,2017,36
2017-09-16,505.7,2017,37
2017-09-23,523.2,2017,38
2017-09-30,530.7,2017,39
2017-10-07,531.9,2017,40
2017-10-14,529.9,2017,41
2017-10-21,522.0,2017,42
2017-10-28,531.5,2017,43
2017-11-04,515.3,2017,44
2017-11-11,526.5,2017,45
2017-11-18,520.2,2017,46
2017-11-25,457.2,2017,47
2017-12-02,538.5,2017,48
2017-12-09,540.0,2017,49
2017-12-16,549.8,2017,50
2017-12-23,528.2,2017,51
2017-12-30,450.6,2017,52
2018-01-06,455.3,2018,1
2018-01-13,522.5,2018,2
2018-01-20,498.9,2018,3
2018-01-27,506.9,2018,4
2018-02-03,521.9,2018,5
2018-02-10,511.2,2018,6
2018-02-17,509.5,2018,7
2018-02-24,510.6,2018,8
2018-03-03,516.2,2018,9
2018-03-10,513.3,2018,10
2018-03-17,516.2,2018,11
2018-03-24,514.9,2018,12
2018-03-31,512.4,2018,13
2018-04-07,500.3,2018,14
2018-04-14,508.0,2018,15
2018-04-21,522.3,2018,16
2018-04-28,506.8,2018,17
2018-05-05,499.6,2018,18
2018-05-12,495.9,2018,19
2018-05-19,502.9,2018,20
2018-05-26,490.9,2018,21
2018-06-02,433.4,2018,22
2018-06-09,483.5,2018,23
2018-06-16,470.4,2018,24
2018-06-23,457.9,2018,25
2018-06-30,471.3,2018,26
2018-07-07,416.1,2018,27
2018-07-14,474.8,2018,28
2018-07-21,495.4,2018,29
2018-07-28,412.4,2018,30
2018-08-04,480.7,2018,31
2018-08-11,482.8,2018,32
2018-08-18,507.8,2018,33
2018-08-25,522.7,2018,34
2018-09-01,510.2,2018,35
2018-09-08,460.6,2018,36
2018-09-15,480.6,2018,37
2018-09-22,486.9,2018,38
2018-09-29,532.8,2018,39
2018-10-06,521.9,2018,40
2018-10-13,519.4,2018,41
2018-10-20,541.2,2018,42
2018-10-27,537.1,2018,43
2018-11-03,543.6,2018,44
2018-11-10,545.7,2018,45
2018-11-17,553.5,2018,46
2018-11-24,478.7,2018,47
2018-12-01,537.7,2018,48
2018-12-08,543.7,2018,49
2018-12-15,556.4,2018,50
2018-12-22,583.9,2018,51
2018-12-29,402.3,2018,52
2019-01-05,482.6,2019,1
2019-01-12,547.1,2019,2
2019-01-19,534.2,2019,3
2019-01-26,533.7,2019,4
2019-02-02,509.3,2019,5
2019-02-09,536.8,2019,6
2019-02-16,537.7,2019,7
2019-02-23,534.0,2019,8
2019-03-02,525.5,2019,9
2019-03-09,544.2,2019,10
2019-03-16,526.4,2019,11
2019-03-23,535.4,2019,12
2019-03-30,536.4,2019,13
2019-04-06,526.5,2019,14
2019-04-13,510.7,2019,15
2019-04-20,510.4,2019,16
2019-04-27,502.1,2019,17
2019-05-04,511.0,2019,18
2019-05-11,502.5,2019,19
2019-05-18,509.0,2019,20
2019-05-25,499.0,2019,21
2019-06-01,456.2,2019,22
2019-06-08,517.6,2019,23
2019-06-15,521.2,2019,24
2019-06-22,524.9,2019,25
2019-06-29,510.8,2019,26
2019-07-06,442.2,2019,27
2019-07-13,512.6,2019,28
2019-07-20,487.1,2019,29
2019-07-27,497.7,2019,30
2019-08-03,494.3,2019,31
2019-08-10,492.7,2019,32
2019-08-17,519.2,2019,33
2019-08-24,525.8,2019,34
2019-08-31,511.5,2019,35
2019-09-07,458.2,2019,36
2019-09-14,542.8,2019,37
2019-09-21,539.8,2019,38
2019-09-28,554.3,2019,39
2019-10-05,561.4,2019,40
2019-10-12,529.9,2019,41
2019-10-19,527.9,2019,42
2019-10-26,526.1,2019,43
2019-11-02,537.5,2019,44
2019-11-09,571.2,2019,45
2019-11-16,584.4,2019,46
2019-11-23,588.3,2019,47
2019-11-30,501.3,2019,48
2019-12-07,600.1,2019,49
2019-12-14,591.6,2019,50
2019-12-21,603.9,2019,51
2019-12-28,436.3,2019,52
2020-01-04,492.8,2020,1
2020-01-11,577.4,2020,2
2020-01-18,536.5,2020,3
2020-01-25,586.7,2020,4
2020-02-01,584.8,2020,5
2020-02-08,582.2,2020,6
2020-02-15,560.2,2020,7
2020-02-22,565.5,2020,8
2020-02-29,550.7,2020,9
2020-03-07,569.5,2020,10
2020-03-14,569.5,2020,11
2020-03-21,600.0,2020,12
2020-03-28,592.4,2020,13
2020-04-04,552.0,2020,14
2020-04-11,517.8,2020,15
2020-04-18,478.2,2020,16
2020-04-25,426.6,2020,17
2020-05-02,329.7,2020,18
2020-05-09,383.0,2020,19
2020-05-16,454.9,2020,20
2020-05-23,466.0,2020,21
2020-05-30,426.9,2020,22
2020-06-06,535.2,2020,23
2020-06-13,536.2,2020,24
2020-06-20,564.2,2020,25
2020-06-27,570.3,2020,26
2020-07-04,441.3,2020,27
2020-07-11,555.9,2020,28
2020-07-18,536.5,2020,29
2020-07-25,548.8,2020,30
2020-08-01,538.2,2020,31
2020-08-08,536.7,2020,32
2020-08-15,540.0,2020,33
2020-08-22,551.8,2020,34
