report_date,published_date,group,category,description,commodity,class,volume,unit,year,indexby_year
2008-11-01,,,,,,,66600.0,,2008,44
2008-11-08,,,,,,,67000.0,,2008,45
2008-11-15,,,,,,,67200.0,,2008,46
2008-11-22,,,,,,,68600.0,,2008,47
2008-11-29,,,,,,,44500.0,,2008,48
2008-12-06,,,,,,,69000.0,,2008,49
2008-12-13,,,,,,,64900.0,,2008,50
2008-12-20,,,,,,,65700.0,,2008,51
2008-12-27,,,,,,,36500.0,,2008,52
2009-01-03,,,,,,,47800.0,,2009,1
2009-01-10,,,,,,,71200.0,,2009,2
2009-01-17,,,,,,,63900.0,,2009,3
2009-01-24,,,,,,,60800.0,,2009,4
2009-01-31,,,,,,,58400.0,,2009,5
2009-02-07,,,,,,,58300.0,,2009,6
2009-02-14,,,,,,,58900.0,,2009,7
2009-02-21,,,,,,,59300.0,,2009,8
2009-02-28,,,,,,,61200.0,,2009,9
2009-03-07,,,,,,,59300.0,,2009,10
2009-03-14,,,,,,,60400.0,,2009,11
2009-03-21,,,,,,,61400.0,,2009,12
2009-03-28,,,,,,,61100.0,,2009,13
2009-04-04,,,,,,,61100.0,,2009,14
2009-04-11,,,,,,,57400.0,,2009,15
2009-04-18,,,,,,,60400.0,,2009,16
2009-04-25,,,,,,,59100.0,,2009,17
2009-05-02,,,,,,,60000.0,,2009,18
2009-05-09,,,,,,,57600.0,,2009,19
2009-05-16,,,,,,,59100.0,,2009,20
2009-05-23,,,,,,,58500.0,,2009,21
2009-05-30,,,,,,,51100.0,,2009,22
2009-06-06,,,,,,,61000.0,,2009,23
2009-06-13,,,,,,,64900.0,,2009,24
2009-06-20,,,,,,,68400.0,,2009,25
2009-06-27,,,,,,,66900.0,,2009,26
2009-07-04,,,,,,,54600.0,,2009,27
2009-07-11,,,,,,,61500.0,,2009,28
2009-07-18,,,,,,,64600.0,,2009,29
2009-07-25,,,,,,,64200.0,,2009,30
2009-08-01,,,,,,,61200.0,,2009,31
2009-08-08,,,,,,,61900.0,,2009,32
2009-08-15,,,,,,,69100.0,,2009,33
2009-08-22,,,,,,,70700.0,,2009,34
2009-08-29,,,,,,,71300.0,,2009,35
2009-09-05,,,,,,,70800.0,,2009,36
2009-09-12,,,,,,,60100.0,,2009,37
2009-09-19,,,,,,,69900.0,,2009,38
2009-09-26,,,,,,,68200.0,,2009,39
2009-10-03,,,,,,,67400.0,,2009,40
2009-10-10,,,,,,,65300.0,,2009,41
2009-10-17,,,,,,,66200.0,,2009,42
2009-10-24,,,,,,,65900.0,,2009,43
2009-10-31,,,,,,,65200.0,,2009,44
