report_date,for_date_begin,purchase_type,head_count,avg_net_price,avg_carcass_weight,total_lbs,lbs_day1,usd_day1,lbs_day2,usd_day2,weekof_year,year,indexby_year,amount
2008-06-10,2008-06-09,Prod. Sold Negotiated,37708,74.15,198.62,74.15,7489562.96,555351093.4840001,7011084.600000001,520923585.78,242,2008,114,74.2225252224529
2008-06-11,2008-06-10,Prod. Sold Negotiated,33291,74.47,195.09,74.47,6494741.19,483663376.4193,7489562.96,555351093.4840001,243,2008,115,74.29861784744578
2008-06-11,2008-06-10,Prod. Sold Swine or Pork Market Formula,132652,75.15,198.84,75.15,26376523.68,1982195754.552,27670305.6,2072782592.496,243,2008,115,75.02712742019342
2008-06-12,2008-06-11,Prod. Sold Negotiated,29650,73.62,194.38,73.62,5763367.0,424299078.54,6494741.19,483663376.4193,244,2008,116,74.0703574226897
2008-06-12,2008-06-11,Prod. Sold Swine or Pork Market Formula,139338,74.75,199.62,74.75,27814651.56,2079145204.11,26376523.68,1982195754.552,244,2008,116,74.94469239087866
2008-06-13,2008-06-12,Prod. Sold Swine or Pork Market Formula,127200,73.9,198.08,73.9,25195776.0,1861967846.4,27814651.56,2079145204.11,245,2008,117,74.34599628628236
2008-06-13,2008-06-12,Prod. Sold Negotiated,25912,72.68,194.73,72.68,5045843.76,366731924.4768,5763367.0,424299078.54,245,2008,117,73.18119894044882
2008-06-16,2008-06-13,Prod. Sold Negotiated,29830,71.91,195.15,71.91,5821324.5,418611444.795,5045843.76,366731924.4768,251,2008,118,72.26752641371176
2008-06-16,2008-06-13,Prod. Sold Swine or Pork Market Formula,150180,73.55,199.36,73.55,29939884.8,2202078527.04,25195776.0,1861967846.4,251,2008,118,73.70994224920942
2008-06-17,2008-06-16,Prod. Sold Swine or Pork Market Formula,122114,73.32,197.49,73.32,24116293.86,1768206665.8152,29939884.8,2202078527.04,252,2008,119,73.44738920276464
2008-06-17,2008-06-16,Prod. Sold Negotiated,28171,71.73,194.1,71.73,5467991.1,392219001.603,5821324.5,418611444.795,252,2008,119,71.82281682319166
2008-06-18,2008-06-17,Prod. Sold Negotiated,29464,71.94,193.88,71.94,5712480.32,410955834.2208,5467991.1,392219001.603,253,2008,120,71.83729608995324
2008-06-18,2008-06-17,Prod. Sold Swine or Pork Market Formula,132721,73.53,197.89,73.53,26264158.69,1931203588.4757,24116293.86,1768206665.8152,253,2008,120,73.42947645457187
2008-06-19,2008-06-18,Prod. Sold Swine or Pork Market Formula,129688,73.8,197.22,73.8,25577067.36,1887587571.168,26264158.69,1931203588.4757,254,2008,121,73.66321074197859
2008-06-19,2008-06-18,Prod. Sold Negotiated,31836,72.59,195.21,72.59,6214705.5600000005,451125476.6004,5712480.32,410955834.2208,254,2008,121,72.27868497184853
2008-06-20,2008-06-19,Prod. Sold Negotiated,32221,73.35,194.3,73.35,6260540.300000001,459210631.005,6214705.5600000005,451125476.6004,255,2008,122,72.97139614091742
2008-06-20,2008-06-19,Prod. Sold Swine or Pork Market Formula,131491,74.0,198.11,74.0,26049682.01,1927676468.74,25577067.36,1887587571.168,255,2008,122,73.90091544529874
2008-06-23,2008-06-20,Prod. Sold Swine or Pork Market Formula,156456,74.46,199.59,74.46,31227053.04,2325166369.3584,26049682.01,1927676468.74,261,2008,123,74.25079020977472
2008-06-23,2008-06-20,Prod. Sold Negotiated,36770,74.3,195.07,74.3,7172723.9,532933385.7699999,6260540.300000001,459210631.005,261,2008,123,73.85725479701351
2008-06-24,2008-06-23,Prod. Sold Swine or Pork Market Formula,138109,75.36,197.34,75.36,27254430.06,2053893849.3216,31227053.04,2325166369.3584,262,2008,124,74.87943168595875
2008-06-24,2008-06-23,Prod. Sold Negotiated,33019,75.23,193.2,75.23,6379270.8,479912542.284,7172723.9,532933385.7699999,262,2008,124,74.7377748055052
2008-06-25,2008-06-24,Prod. Sold Swine or Pork Market Formula,140431,76.15,197.41,76.15,27722483.71,2111067134.5165,27254430.06,2053893849.3216,263,2008,125,75.75836288778457
2008-06-25,2008-06-24,Prod. Sold Negotiated,32738,76.39,193.17,76.39,6323999.46,483090318.7494,6379270.8,479912542.284,263,2008,125,75.80747644688779
2008-06-26,2008-06-25,Prod. Sold Swine or Pork Market Formula,146444,76.48,197.55,76.48,28930012.200000003,2212567333.056,27722483.71,2111067134.5165,264,2008,126,76.31851691832193
2008-06-26,2008-06-25,Prod. Sold Negotiated,33255,76.45,193.41,76.45,6431849.55,491714898.0975,6323999.46,483090318.7494,264,2008,126,76.42025364855742
2008-06-27,2008-06-26,Prod. Sold Swine or Pork Market Formula,131984,76.43,196.69,76.43,25959932.96,1984117676.1328003,28930012.200000003,2212567333.056,265,2008,127,76.4563527428527
2008-06-27,2008-06-26,Prod. Sold Negotiated,30406,76.52,194.22,76.52,5905453.32,451885288.0464,6431849.55,491714898.0975,265,2008,127,76.48350665350085
2008-06-30,2008-06-27,Prod. Sold Swine or Pork Market Formula,165313,76.53,197.75,76.53,32690645.75,2501815119.2475,25959932.96,1984117676.1328003,271,2008,128,76.48573797645142
2008-06-30,2008-06-27,Prod. Sold Negotiated,38479,76.44,193.2,76.44,7434142.8,568265875.632,5905453.32,451885288.0464,271,2008,128,76.47541608466628
2008-07-01,2008-06-30,Prod. Sold Negotiated,29514,74.39,191.54,74.39,5653111.56,420534968.9484,7434142.8,568265875.632,272,2008,129,75.55449121571134
2008-07-01,2008-06-30,Prod. Sold Swine or Pork Market Formula,127230,75.7,196.63,75.7,25017234.9,1893804681.93,32690645.75,2501815119.2475,272,2008,129,76.17018250656378
2008-07-02,2008-07-01,Prod. Sold Swine or Pork Market Formula,143826,75.4,196.49,75.4,28260370.74,2130831953.796,25017234.9,1893804681.93,273,2008,130,75.54086913966654
2008-07-02,2008-07-01,Prod. Sold Negotiated,25608,73.34,191.51,73.34,4904188.08,359673153.78720003,5653111.56,420534968.9484,273,2008,130,73.90224293525877
2008-07-03,2008-07-02,Prod. Sold Swine or Pork Market Formula,134017,75.0,196.45,75.0,26327639.65,1974572973.75,28260370.74,2130831953.796,274,2008,131,75.2070811560128
2008-07-03,2008-07-02,Prod. Sold Negotiated,25083,72.53,190.05,72.53,4767024.15,345752261.59950006,4904188.08,359673153.78720003,274,2008,131,72.94074399468536
2008-07-07,2008-07-03,Prod. Sold Swine or Pork Market Formula,134973,74.09,197.58,74.09,26667965.34,1975829552.0406,26327639.65,1974572973.75,281,2008,132,74.5420780937593
2008-07-07,2008-07-03,Prod. Sold Negotiated,25065,72.27,193.08,72.27,4839550.2,349754292.954,4767024.15,345752261.59950006,281,2008,132,72.39901854853181
2008-07-08,2008-07-07,Prod. Sold Negotiated,26934,71.83,192.69,71.83,5189912.46,372791412.0018,4839550.2,349754292.954,282,2008,133,72.04231467329677
2008-07-08,2008-07-07,Prod. Sold Swine or Pork Market Formula,136286,73.4,195.99,73.4,26710693.14,1960564876.4760003,26667965.34,1975829552.0406,282,2008,133,73.744723839238
2008-07-09,2008-07-08,Prod. Sold Swine or Pork Market Formula,138931,73.25,196.58,73.25,27311055.98,2000534850.535,26710693.14,1960564876.4760003,283,2008,134,73.32416649842456
2008-07-09,2008-07-08,Prod. Sold Negotiated,31605,71.42,194.08,71.42,6133898.4,438083023.728,5189912.46,372791412.0018,283,2008,134,71.60791060137859
2008-07-10,2008-07-09,Prod. Sold Negotiated,28747,71.57,190.81,71.57,5485215.07,392576842.5599,6133898.4,438083023.728,284,2008,135,71.49081282600642
2008-07-10,2008-07-09,Prod. Sold Swine or Pork Market Formula,139913,73.46,197.42,73.46,27621624.46,2029084532.8316,27311055.98,2000534850.535,284,2008,135,73.35559363006027
2008-07-11,2008-07-10,Prod. Sold Negotiated,31873,71.44,194.25,71.44,6191330.25,442308633.06,5485215.07,392576842.5599,285,2008,136,71.50106925803462
2008-07-11,2008-07-10,Prod. Sold Swine or Pork Market Formula,145143,73.6,197.22,73.6,28625102.46,2106807541.056,27621624.46,2029084532.8316,285,2008,136,73.53124884529012
2008-07-14,2008-07-11,Prod. Sold Swine or Pork Market Formula,167207,73.83,197.87,73.83,33085249.09,2442683940.3147,28625102.46,2106807541.056,291,2008,137,73.7233116827172
2008-07-14,2008-07-11,Prod. Sold Negotiated,46705,72.66,196.41,72.66,9173329.05,666534088.773,6191330.25,442308633.06,291,2008,137,72.16838982124385
2008-07-15,2008-07-14,Prod. Sold Negotiated,30593,73.48,193.26,73.48,5912403.18,434443385.6664,9173329.05,666534088.773,292,2008,138,72.98137456330815
2008-07-15,2008-07-14,Prod. Sold Swine or Pork Market Formula,142130,74.35,196.18,74.35,27883063.4,2073105763.79,33085249.09,2442683940.3147,292,2008,138,74.06781522525128
2008-07-16,2008-07-15,Prod. Sold Negotiated,30242,74.0,191.76,74.0,5799205.92,429141238.08,5912403.18,434443385.6664,293,2008,139,73.73748699881045
2008-07-16,2008-07-15,Prod. Sold Swine or Pork Market Formula,133705,75.04,196.25,75.04,26239606.25,1969020053.0,27883063.4,2073105763.79,293,2008,139,74.68452393293943
2008-07-17,2008-07-16,Prod. Sold Swine or Pork Market Formula,148860,75.71,195.9,75.71,29161674.0,2207830338.54,26239606.25,1969020053.0,294,2008,140,75.39266913493395
2008-07-17,2008-07-16,Prod. Sold Negotiated,30542,75.26,193.32,75.26,5904379.44,444363596.6544,5799205.92,429141238.08,294,2008,140,74.6356614546365
2008-07-18,2008-07-17,Prod. Sold Negotiated,33194,75.68,194.32,75.68,6450258.08,488155531.4944,5904379.44,444363596.6544,295,2008,141,75.47927866270577
2008-07-18,2008-07-17,Prod. Sold Swine or Pork Market Formula,150097,76.71,196.78,76.71,29536087.66,2265713284.3986,29161674.0,2207830338.54,295,2008,141,76.21318933507352
2008-07-21,2008-07-18,Prod. Sold Negotiated,50339,77.21,195.14,77.21,9823152.46,758445601.4365999,6450258.08,488155531.4944,301,2008,142,76.60355706425875
2008-07-21,2008-07-18,Prod. Sold Swine or Pork Market Formula,164262,77.59,197.42,77.59,32428604.04,2516135387.4636,29536087.66,2265713284.3986,301,2008,142,77.17053923246098
2008-07-22,2008-07-21,Prod. Sold Negotiated,32694,78.39,193.14,78.39,6314519.159999999,494995156.9524,9823152.46,758445601.4365999,302,2008,143,77.671722904286
2008-07-22,2008-07-21,Prod. Sold Swine or Pork Market Formula,129083,78.94,195.93,78.94,25291232.19,1996489869.0786,32428604.04,2516135387.4636,302,2008,143,78.18153257678085
2008-07-23,2008-07-22,Prod. Sold Negotiated,32518,79.38,192.74,79.38,6267519.32,497515683.6216,6314519.159999999,494995156.9524,303,2008,144,78.88315094184958
2008-07-23,2008-07-22,Prod. Sold Swine or Pork Market Formula,135680,79.88,195.8,79.88,26566144.0,2122103582.72,25291232.19,1996489869.0786,303,2008,144,79.42155493383437
2008-07-24,2008-07-23,Prod. Sold Swine or Pork Market Formula,147786,80.58,195.7,80.58,28921720.2,2330512213.716,26566144.0,2122103582.72,304,2008,145,80.24485823399199
2008-07-24,2008-07-23,Prod. Sold Negotiated,33191,79.84,192.93,79.84,6403539.63,511258604.0592,6267519.32,497515683.6216,304,2008,145,79.6124689863273
2008-07-25,2008-07-24,Prod. Sold Negotiated,30819,80.73,192.61,80.73,5936047.590000001,479217121.94070005,6403539.63,511258604.0592,305,2008,146,80.26814093056022
2008-07-25,2008-07-24,Prod. Sold Swine or Pork Market Formula,151367,81.1,197.09,81.1,29832922.03,2419449976.633,28921720.2,2330512213.716,305,2008,146,80.84403223416581
2008-07-28,2008-07-25,Prod. Sold Negotiated,56101,81.6,193.96,81.6,10881349.96,887918156.736,5936047.590000001,479217121.94070005,311,2008,147,81.29291554249427
2008-07-28,2008-07-25,Prod. Sold Swine or Pork Market Formula,168182,81.65,196.61,81.65,33066263.020000003,2699860375.5830007,29832922.03,2419449976.633,311,2008,147,81.38913641164896
2008-07-29,2008-07-28,Prod. Sold Swine or Pork Market Formula,141217,82.12,194.82,82.12000000000003,27511895.94,2259276894.5928,33066263.020000003,2699860375.5830007,312,2008,148,81.86345302191073
